"Month Year","Age","Sex","Homicide (Murder)","Other Homicide","Attempted Murder","Conspiracy to Murder","Manslaughter (excl. by driving)","Manslaughter Unlawful Striking Causing Death","Driving Causing Death","Assault","Grievous Assault","Serious Assault","Serious Assault (Other)","Common Assault'","Sexual Offences","Rape and Attempted Rape","Other Sexual Offences","Robbery","Armed Robbery","Unarmed Robbery","Other Offences Against the Person","Kidnapping & Abduction etc.","Extortion","Stalking","Life Endangering Acts","Offences Against the Person","Unlawful Entry","Unlawful Entry With Intent - Dwelling","Unlawful Entry Without Violence - Dwelling","Unlawful Entry With Violence - Dwelling","Unlawful Entry With Intent - Shop","Unlawful Entry With Intent - Other","Arson","Other Property Damage","Unlawful Use of Motor Vehicle","Other Theft (excl. Unlawful Entry)","Stealing from Dwellings","Shop Stealing","Vehicles (steal from/enter with intent)","Other Stealing","Fraud","Fraud by Computer","Fraud by Cheque","Fraud by Credit Card","Identity Fraud","Other Fraud","Handling Stolen Goods","Possess Property Suspected Stolen","Receiving Stolen Property","Possess etc. Tainted Property","Other Handling Stolen Goods","Offences Against Property","Drug Offences","Trafficking Drugs","Possess Drugs","Produce Drugs","Sell Supply Drugs","Other Drug Offences","Prostitution Offences","Found in Places Used for Purpose of Prostitution Offences","Have Interest in Premises Used for Prostitution Offences","Knowingly Participate in Provision Prostitution Offences","Public Soliciting","Procuring Prostitution","Permit Minor to be at a Place Used for Prostitution Offences","Advertising Prostitution","Other Prostitution Offences","Liquor (excl. Drunkenness)","Gaming Racing & Betting Offences","Breach Domestic Violence Protection Order","Trespassing and Vagrancy","Weapons Act Offences","Unlawful Possess Concealable Firearm","Unlawful Possess Firearm - Other","Bomb Possess and/or use of","Possess and/or use other weapons; restricted items","Weapons Act Offences - Other","Good Order Offences","Disobey Move-on Direction","Resist Incite Hinder Obstruct Police","Fare Evasion","Public Nuisance","Stock Related Offences","Traffic and Related Offences","Dangerous Operation of a Vehicle","Drink Driving","Disqualified Driving","Interfere with Mechanism of Motor Vehicle","Miscellaneous Offences","Other Offences"
MAY01,Adult,Male,3,7,7,0,0,0,0,595,27,279,45,244,142,31,111,105,71,34,127,19,1,29,78,979,845,503,476,27,138,204,20,750,288,922,49,298,296,279,737,1,81,327,0,328,304,57,79,163,5,3866,2198,7,1052,137,70,932,15,0,0,2,12,1,0,0,0,70,0,330,124,269,13,68,1,102,85,1349,18,564,23,744,20,2037,84,1658,295,0,81,6493,26
MAY01,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,10,0,0,0,0,10,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
MAY01,Juvenile,Female,0,0,0,0,0,0,0,32,0,19,2,11,2,1,1,4,1,3,13,6,0,0,7,51,33,17,17,0,3,13,0,39,16,259,5,229,9,16,15,0,0,1,0,14,12,3,3,6,0,374,48,0,25,0,4,19,0,0,0,0,0,0,0,0,0,16,0,0,8,3,0,0,1,2,0,42,0,17,7,18,0,4,0,4,0,0,7,128,28
MAY01,Juvenile,Male,0,0,0,0,0,0,0,85,4,37,8,36,21,5,16,30,5,25,10,0,0,0,10,146,387,115,115,0,98,174,7,343,145,472,14,253,95,110,21,0,9,3,0,9,63,9,25,27,2,1438,261,0,118,5,22,116,0,0,0,0,0,0,0,0,0,41,0,0,80,25,0,3,0,16,6,130,6,42,22,60,0,26,9,15,2,0,35,598,29
MAY01,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
JUN01,Adult,Female,0,1,1,0,0,0,0,149,11,52,18,68,1,0,1,9,5,4,12,0,0,2,10,172,105,71,67,4,10,24,2,86,46,364,19,207,46,92,215,0,29,76,0,110,82,21,23,38,0,900,472,3,205,21,10,233,12,6,0,0,4,1,0,1,0,14,1,35,12,24,1,4,0,11,8,399,3,187,9,200,0,387,8,352,27,0,12,1368,31
JUN01,Adult,Male,2,17,16,0,0,0,1,591,31,254,53,253,165,35,130,113,90,23,97,10,2,26,59,985,684,421,386,35,87,176,15,752,365,993,50,355,324,264,571,7,117,190,0,257,321,67,83,168,3,3701,1822,4,872,89,39,818,25,2,2,4,15,1,0,0,1,78,1,324,152,293,15,70,7,104,97,1338,22,578,18,720,4,1925,76,1591,257,1,75,6037,32
JUN01,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
JUN01,Juvenile,Female,0,0,0,0,0,0,0,39,1,20,2,16,0,0,0,0,0,0,4,0,0,0,4,43,34,19,19,0,4,11,2,38,12,290,7,269,2,12,29,0,0,5,0,24,8,1,2,5,0,413,60,0,26,3,11,20,0,0,0,0,0,0,0,0,0,12,0,0,13,2,0,0,0,2,0,41,0,21,1,19,0,1,0,1,0,0,2,131,34
JUN01,Juvenile,Male,0,0,0,0,0,0,0,88,2,39,15,32,10,1,9,9,3,6,14,0,1,3,10,121,276,95,94,1,50,131,11,307,117,425,7,252,67,99,34,0,0,1,0,33,46,18,11,15,2,1216,201,0,105,2,9,85,0,0,0,0,0,0,0,0,0,43,0,0,66,27,0,9,1,12,5,106,2,42,20,42,0,9,4,5,0,0,22,474,35
