"Month Year","Age","Sex","Homicide (Murder)","Other Homicide","Attempted Murder","Conspiracy to Murder","Manslaughter (excl. by driving)","Manslaughter Unlawful Striking Causing Death","Driving Causing Death","Assault","Grievous Assault","Serious Assault","Serious Assault (Other)","Common Assault'","Sexual Offences","Rape and Attempted Rape","Other Sexual Offences","Robbery","Armed Robbery","Unarmed Robbery","Other Offences Against the Person","Kidnapping & Abduction etc.","Extortion","Stalking","Life Endangering Acts","Offences Against the Person","Unlawful Entry","Unlawful Entry With Intent - Dwelling","Unlawful Entry Without Violence - Dwelling","Unlawful Entry With Violence - Dwelling","Unlawful Entry With Intent - Shop","Unlawful Entry With Intent - Other","Arson","Other Property Damage","Unlawful Use of Motor Vehicle","Other Theft (excl. Unlawful Entry)","Stealing from Dwellings","Shop Stealing","Vehicles (steal from/enter with intent)","Other Stealing","Fraud","Fraud by Computer","Fraud by Cheque","Fraud by Credit Card","Identity Fraud","Other Fraud","Handling Stolen Goods","Possess Property Suspected Stolen","Receiving Stolen Property","Possess etc. Tainted Property","Other Handling Stolen Goods","Offences Against Property","Drug Offences","Trafficking Drugs","Possess Drugs","Produce Drugs","Sell Supply Drugs","Other Drug Offences","Prostitution Offences","Found in Places Used for Purpose of Prostitution Offences","Have Interest in Premises Used for Prostitution Offences","Knowingly Participate in Provision Prostitution Offences","Public Soliciting","Procuring Prostitution","Permit Minor to be at a Place Used for Prostitution Offences","Advertising Prostitution","Other Prostitution Offences","Liquor (excl. Drunkenness)","Gaming Racing & Betting Offences","Breach Domestic Violence Protection Order","Trespassing and Vagrancy","Weapons Act Offences","Unlawful Possess Concealable Firearm","Unlawful Possess Firearm - Other","Bomb Possess and/or use of","Possess and/or use other weapons; restricted items","Weapons Act Offences - Other","Good Order Offences","Disobey Move-on Direction","Resist Incite Hinder Obstruct Police","Fare Evasion","Public Nuisance","Stock Related Offences","Traffic and Related Offences","Dangerous Operation of a Vehicle","Drink Driving","Disqualified Driving","Interfere with Mechanism of Motor Vehicle","Miscellaneous Offences","Other Offences"
JUN09,Adult,Male,5,6,6,0,0,0,0,671,52,316,68,235,130,38,92,76,58,18,115,16,8,17,74,1003,703,396,368,28,84,223,23,629,207,1074,37,514,234,289,353,13,13,83,19,225,217,58,29,124,6,3206,2624,13,1308,107,63,1133,15,0,0,5,0,10,0,0,0,449,0,529,200,230,2,41,0,140,47,2722,69,1037,44,1572,25,2732,78,2200,453,1,144,9670,608
JUN09,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,609
JUN09,Juvenile,Female,0,0,0,0,0,0,0,75,1,36,6,32,4,0,4,8,3,5,13,0,0,3,10,100,21,13,13,0,2,6,2,56,13,298,9,253,7,29,11,0,0,0,0,11,13,3,4,6,0,414,41,0,21,0,6,14,0,0,0,0,0,0,0,0,0,28,0,0,12,1,0,0,0,1,0,62,0,19,7,36,0,4,0,4,0,0,12,160,610
JUN09,Juvenile,Male,0,0,0,0,0,0,0,142,7,62,10,63,37,3,34,29,8,21,19,2,0,1,16,227,475,236,234,2,66,173,14,353,83,512,28,218,154,112,18,0,0,7,0,11,57,18,14,25,0,1512,145,0,72,2,7,64,0,0,0,0,0,0,0,0,0,35,0,1,103,34,0,1,0,28,5,179,7,69,21,82,0,19,9,9,1,0,43,559,611
JUN09,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612
JUL09,Adult,Female,0,1,1,0,0,0,0,195,11,71,18,95,2,0,2,5,2,3,41,1,0,6,34,244,35,26,25,1,2,7,1,138,24,615,11,489,30,85,211,2,13,48,6,142,104,45,17,41,1,1128,747,4,356,18,23,346,7,2,0,2,1,0,0,0,2,222,0,79,30,20,0,4,0,13,3,632,14,308,12,298,11,723,10,572,141,0,15,2486,613
JUL09,Adult,Male,5,9,4,0,1,0,4,686,49,331,57,249,145,44,101,90,62,28,106,21,0,10,75,1041,627,266,250,16,142,219,8,561,171,953,33,440,196,284,396,8,30,73,10,275,243,58,33,145,7,2959,2792,10,1383,93,77,1229,4,0,0,2,0,2,0,0,0,557,0,565,199,212,13,37,0,123,39,2945,94,1075,36,1740,49,2848,96,2089,663,0,146,10317,614
JUL09,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,4,615
JUL09,Juvenile,Female,0,0,0,0,0,0,0,48,0,24,2,22,5,0,5,10,2,8,2,0,0,0,2,65,32,23,23,0,1,8,0,129,10,387,12,347,6,22,10,0,0,2,0,8,10,3,6,1,0,578,33,0,12,0,1,20,0,0,0,0,0,0,0,0,0,19,0,0,18,5,0,0,0,5,0,57,2,18,9,28,0,1,0,1,0,0,7,140,616
JUL09,Juvenile,Male,0,0,0,0,0,0,0,118,3,60,7,48,43,10,33,24,11,13,9,0,0,0,9,194,399,134,131,3,77,188,8,389,82,644,44,289,188,123,12,0,1,2,1,8,67,25,17,25,0,1601,164,0,81,0,9,74,0,0,0,0,0,0,0,0,0,42,0,4,120,32,0,1,0,27,4,143,3,53,15,72,0,14,4,10,0,0,24,543,617
JUL09,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618
AUG09,Adult,Female,1,2,1,0,0,0,1,225,7,87,18,113,1,0,1,20,8,12,38,0,0,2,36,287,62,47,44,3,7,8,1,97,28,537,15,389,14,119,230,4,16,75,3,132,75,22,10,43,0,1030,809,0,373,21,13,402,11,0,0,6,0,0,0,0,5,190,0,83,72,25,1,3,0,17,4,721,17,283,19,402,17,830,10,597,223,0,15,2773,619
AUG09,Adult,Male,9,8,5,0,1,0,2,692,31,344,63,254,130,21,109,77,52,25,119,18,2,18,81,1035,597,325,299,26,71,201,23,542,190,1024,41,437,248,298,426,8,42,83,8,285,232,64,40,124,4,3034,2671,16,1287,101,91,1176,2,0,2,0,0,0,0,0,0,626,0,655,241,200,2,34,0,130,34,3438,111,1141,79,2107,41,3289,112,2274,903,0,139,11302,620
AUG09,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,3,621
AUG09,Juvenile,Female,0,0,0,0,0,0,0,77,1,41,3,32,5,0,5,3,2,1,9,1,0,3,5,94,38,21,21,0,5,12,0,63,17,352,11,303,15,23,16,0,0,4,0,12,13,4,3,6,0,499,48,0,26,1,5,16,1,0,0,0,1,0,0,0,0,10,0,0,29,5,0,0,0,5,0,60,5,25,4,26,0,4,1,3,0,0,8,165,622
AUG09,Juvenile,Male,0,1,1,0,0,0,0,137,1,64,20,52,36,6,30,22,6,16,18,1,0,4,13,214,338,129,128,1,39,170,12,277,92,576,17,215,206,138,25,1,3,12,0,9,53,18,12,23,0,1373,200,0,98,3,11,88,0,0,0,0,0,0,0,0,0,28,0,1,140,38,0,2,0,31,5,183,9,80,12,82,0,25,9,15,1,0,38,653,623
AUG09,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624
SEP09,Adult,Female,1,0,0,0,0,0,0,227,10,75,21,121,1,0,1,14,7,7,35,0,0,2,33,278,85,54,50,4,16,15,4,74,29,462,18,332,41,71,202,6,8,37,9,142,71,21,8,42,0,927,697,3,321,23,15,335,16,4,0,11,0,0,0,0,1,187,0,82,34,20,0,1,0,16,3,663,11,298,15,339,5,744,10,513,221,0,8,2456,625
SEP09,Adult,Male,4,12,8,0,0,0,4,694,43,302,67,282,144,56,88,52,27,25,131,15,6,28,82,1037,508,266,245,21,76,166,26,769,161,1019,45,378,290,306,419,33,18,58,12,298,214,56,35,118,5,3116,2418,19,1216,95,77,1011,6,2,1,2,1,0,0,0,0,536,0,614,163,218,12,32,2,137,35,2956,79,1124,52,1701,22,2974,76,2047,851,0,130,10037,626
SEP09,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627
SEP09,Juvenile,Female,0,0,0,0,0,0,0,54,1,24,6,23,5,1,4,8,1,7,6,2,0,1,3,73,54,10,10,0,9,35,1,48,13,368,8,306,5,49,14,0,0,0,1,13,31,15,9,7,0,529,38,1,18,0,1,18,0,0,0,0,0,0,0,0,0,16,0,0,51,10,1,0,0,8,1,84,1,39,1,43,0,4,1,3,0,0,12,215,628
SEP09,Juvenile,Male,0,0,0,0,0,0,0,143,4,65,15,59,39,9,30,29,18,11,22,1,0,5,16,233,527,134,132,2,82,311,15,300,85,456,31,185,121,119,20,1,0,6,3,10,47,17,11,19,0,1450,167,0,82,3,8,74,0,0,0,0,0,0,0,0,0,34,0,0,111,29,0,1,0,27,1,233,8,87,14,124,0,16,5,10,1,0,43,633,629
SEP09,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630
OCT09,Adult,Female,2,0,0,0,0,0,0,232,11,77,31,113,2,0,2,5,2,3,27,2,1,4,20,268,56,36,31,5,5,15,1,78,19,477,17,353,9,98,199,8,14,47,8,122,93,27,9,57,0,923,677,3,302,28,11,333,19,0,0,17,0,0,0,1,1,184,0,105,28,14,0,1,0,12,1,705,10,291,18,386,7,777,15,535,227,0,15,2531,631
OCT09,Adult,Male,7,7,4,0,0,0,3,768,52,338,80,298,151,27,124,60,45,15,99,5,2,23,69,1092,623,300,263,37,137,186,18,541,164,895,51,376,191,277,366,13,21,54,18,260,193,53,31,107,2,2800,2382,15,1170,115,69,1013,9,1,1,4,1,2,0,0,0,609,0,650,205,210,6,34,11,121,38,3385,109,1199,51,2026,40,3160,92,2211,857,0,130,10780,632
OCT09,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,3,0,0,0,5,633
OCT09,Juvenile,Female,0,0,0,0,0,0,0,88,1,39,5,43,4,0,4,12,1,11,8,0,0,3,5,112,42,20,20,0,7,15,1,82,9,305,4,258,16,27,8,0,0,0,0,8,17,9,2,6,0,464,38,0,18,0,2,18,0,0,0,0,0,0,0,0,0,15,0,0,37,0,0,0,0,0,0,99,2,33,10,54,0,2,0,2,0,0,5,196,634
OCT09,Juvenile,Male,0,0,0,0,0,0,0,128,2,57,20,49,42,4,38,19,4,15,24,1,0,4,19,213,283,67,67,0,55,161,18,377,66,439,28,198,91,122,9,0,0,1,1,7,65,20,17,28,0,1257,139,0,65,2,4,68,0,0,0,0,0,0,0,0,0,35,0,6,138,29,0,1,0,26,2,250,6,97,18,129,0,22,6,15,1,0,39,658,635
OCT09,Juvenile,Not Stated,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636
NOV09,Adult,Female,2,1,0,0,1,0,0,232,9,93,20,110,6,0,6,7,2,5,23,2,0,2,19,271,62,38,33,5,9,15,3,72,15,536,18,406,17,95,174,5,7,57,1,104,71,19,13,39,0,933,652,3,294,18,13,324,1,0,0,1,0,0,0,0,0,166,0,110,49,27,4,3,0,19,1,759,11,314,13,421,10,777,6,542,229,0,13,2564,637
NOV09,Adult,Male,2,2,2,0,0,0,0,762,52,366,68,276,142,33,109,72,37,35,102,10,1,25,66,1082,603,267,242,25,112,224,15,507,163,983,42,345,299,297,420,15,22,109,12,262,212,64,37,107,4,2903,2276,17,1076,110,86,987,2,0,0,2,0,0,0,0,0,527,0,653,225,216,13,29,0,125,49,3496,90,1199,60,2147,51,3118,77,2157,884,0,121,10685,638
NOV09,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,639
NOV09,Juvenile,Female,0,0,0,0,0,0,0,84,1,46,5,32,1,0,1,13,0,13,7,0,0,0,7,105,82,30,29,1,17,35,2,66,11,346,17,274,9,46,11,0,0,7,0,4,25,8,3,14,0,543,26,0,15,0,1,10,0,0,0,0,0,0,0,0,0,16,0,0,32,2,0,0,0,2,0,79,0,26,6,47,0,1,0,1,0,0,9,165,640
NOV09,Juvenile,Male,1,0,0,0,0,0,0,169,10,84,19,56,43,6,37,24,11,13,17,0,0,3,14,254,391,100,100,0,32,259,10,351,79,683,41,188,350,104,37,1,0,11,1,24,67,14,19,34,0,1618,156,0,67,3,11,75,0,0,0,0,0,0,0,0,0,37,0,1,117,24,0,2,1,21,0,190,5,68,14,103,0,18,3,15,0,0,36,579,641
NOV09,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642
DEC09,Adult,Female,0,0,0,0,0,0,0,237,20,92,25,100,4,1,3,12,7,5,28,1,0,7,20,281,80,52,38,14,13,15,6,61,32,531,17,411,15,88,219,1,7,57,23,131,77,23,10,43,1,1006,588,4,291,23,8,262,10,1,0,6,1,0,0,0,2,213,0,116,43,24,1,3,0,17,3,830,18,324,27,461,11,829,17,572,240,0,13,2677,643
DEC09,Adult,Male,4,11,7,0,0,0,4,753,43,345,76,289,170,43,127,73,42,31,120,15,7,25,73,1131,701,334,296,38,99,268,16,582,222,974,38,435,204,297,525,16,60,173,22,254,223,73,35,113,2,3243,2234,17,1085,116,50,966,2,0,0,2,0,0,0,0,0,659,0,713,249,180,6,34,0,109,31,3676,127,1234,50,2265,25,3343,83,2374,884,2,112,11193,644
DEC09,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645
DEC09,Juvenile,Female,0,0,0,0,0,0,0,70,1,33,5,31,4,0,4,11,7,4,1,0,0,1,0,86,42,14,13,1,14,14,2,62,21,419,11,356,15,37,20,0,0,8,0,12,21,10,5,6,0,587,36,0,19,0,2,15,0,0,0,0,0,0,0,0,0,17,0,0,41,2,0,0,0,2,0,100,0,32,17,51,0,5,0,5,0,0,11,212,646
DEC09,Juvenile,Male,0,0,0,0,0,0,0,121,4,60,12,45,29,7,22,34,9,25,19,1,0,4,14,203,316,109,109,0,35,172,7,291,92,464,30,211,131,92,46,1,0,31,0,14,47,22,4,21,0,1263,146,0,72,3,7,64,0,0,0,0,0,0,0,0,0,47,0,2,125,34,0,3,1,23,7,207,5,62,15,125,0,15,2,13,0,0,26,602,647
DEC09,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,648
JAN10,Adult,Female,1,2,1,0,0,0,1,268,20,84,30,134,3,0,3,4,0,4,28,0,0,4,24,306,132,87,78,9,12,33,0,104,36,579,20,434,29,96,186,2,13,56,5,110,87,21,30,35,1,1124,616,2,284,17,7,306,16,0,1,6,5,0,0,0,4,167,0,105,51,24,0,1,0,21,2,862,20,342,19,481,10,808,8,603,197,0,26,2685,649
JAN10,Adult,Male,4,5,3,0,1,0,1,771,62,362,70,277,161,33,128,77,42,35,121,10,4,21,86,1139,861,489,463,26,122,250,16,750,282,1232,76,413,334,409,468,6,18,142,7,295,239,52,36,145,6,3848,2301,9,1154,122,57,959,4,0,0,3,1,0,0,0,0,503,0,778,232,237,7,32,0,151,47,3982,159,1297,67,2459,34,3410,109,2472,829,0,159,11640,650
JAN10,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,3,0,0,0,6,651
JAN10,Juvenile,Female,0,0,0,0,0,0,0,62,0,23,8,31,8,1,7,13,2,11,13,0,0,8,5,96,74,19,18,1,20,35,0,130,18,408,11,289,61,47,11,0,2,0,1,8,13,5,2,6,0,654,32,0,11,1,2,18,0,0,0,0,0,0,0,0,0,24,0,0,41,3,0,0,0,3,0,91,0,21,7,63,0,5,0,5,0,0,6,202,652
JAN10,Juvenile,Male,0,1,1,0,0,0,0,122,6,66,15,35,29,8,21,24,6,18,20,1,0,1,18,196,384,131,129,2,76,177,5,304,110,512,24,186,181,121,12,0,0,7,0,5,77,27,22,25,3,1404,143,0,77,2,10,54,0,0,0,0,0,0,0,0,0,51,0,2,104,34,0,2,0,28,4,254,5,102,18,129,0,32,13,19,0,0,23,643,653
JAN10,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654
FEB10,Adult,Female,0,1,0,1,0,0,0,202,15,73,23,91,9,5,4,7,4,3,43,1,0,3,39,262,79,43,42,1,17,19,3,76,45,491,15,367,24,85,203,3,13,51,9,127,87,29,13,44,1,984,625,9,269,31,19,297,25,2,0,1,20,0,0,0,2,144,0,111,42,24,0,4,0,18,2,656,10,293,22,331,10,598,5,448,145,0,16,2251,655
FEB10,Adult,Male,5,7,3,0,2,0,2,720,50,350,47,273,147,50,97,39,21,18,109,12,1,23,73,1027,812,390,356,34,158,264,18,643,243,1089,45,449,259,336,455,4,11,76,16,348,261,119,36,102,4,3521,2297,28,1126,122,73,948,13,4,1,6,2,0,0,0,0,397,0,685,213,195,3,37,0,112,43,2753,79,1053,53,1568,58,2654,92,1922,640,0,124,9389,656
FEB10,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,3,657
FEB10,Juvenile,Female,0,0,0,0,0,0,0,66,0,28,2,36,2,0,2,12,8,4,7,0,0,2,5,87,41,10,10,0,4,27,0,58,11,259,4,232,3,20,5,0,0,0,1,4,20,4,5,11,0,394,22,0,13,0,1,8,0,0,0,0,0,0,0,0,0,14,0,0,37,2,0,0,0,2,0,75,3,27,3,42,0,0,0,0,0,0,4,154,658
FEB10,Juvenile,Male,1,0,0,0,0,0,0,113,2,60,12,39,50,11,39,26,12,14,17,1,0,3,13,207,481,195,191,4,60,226,4,315,119,534,35,206,197,96,16,0,0,1,0,15,51,22,7,22,0,1520,136,1,71,1,14,49,0,0,0,0,0,0,0,0,0,40,0,2,114,48,2,2,1,40,3,205,9,80,16,100,0,16,9,7,0,0,25,586,659
FEB10,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660
MAR10,Adult,Female,0,1,0,0,1,0,0,221,14,96,16,95,9,1,8,12,8,4,33,1,0,2,30,276,78,68,58,10,5,5,5,105,26,543,24,376,36,107,194,7,11,30,18,128,78,25,18,34,1,1029,678,5,274,40,16,343,12,0,0,8,2,0,0,0,2,144,0,106,35,22,0,3,0,15,4,696,7,286,33,370,4,738,8,549,180,1,17,2452,661
MAR10,Adult,Male,5,6,2,0,2,0,2,747,73,362,72,240,169,36,133,96,40,56,113,13,2,21,77,1136,754,379,337,42,103,272,14,557,212,1099,77,470,255,297,471,15,15,58,13,370,241,62,52,122,5,3348,2358,33,1088,127,78,1032,1,0,0,0,1,0,0,0,0,388,0,690,256,202,7,36,0,127,32,2843,74,1039,116,1614,40,2716,61,1984,670,1,134,9628,662
MAR10,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,663
MAR10,Juvenile,Female,0,0,0,0,0,0,0,114,2,52,7,53,1,0,1,13,6,7,7,1,0,0,6,135,55,14,13,1,13,28,0,37,18,371,8,308,14,41,6,0,0,0,0,6,18,4,1,13,0,505,42,0,24,0,2,16,0,0,0,0,0,0,0,0,0,14,0,0,31,7,0,0,0,7,0,80,1,30,7,42,0,8,3,5,0,0,15,197,664
MAR10,Juvenile,Male,0,0,0,0,0,0,0,163,7,76,17,63,62,7,55,36,14,22,24,2,0,1,21,285,427,158,156,2,53,216,7,292,115,683,52,257,256,118,10,0,0,4,0,6,68,31,15,22,0,1602,165,0,74,2,13,76,0,0,0,0,0,0,0,0,0,31,0,2,132,28,0,1,0,27,0,236,5,83,17,131,0,27,9,16,2,0,30,651,665
MAR10,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666
APR10,Adult,Female,1,1,1,0,0,0,0,214,13,61,28,112,7,1,6,5,3,2,34,1,0,2,31,262,31,20,14,6,5,6,2,77,18,530,18,391,45,76,170,4,6,35,5,120,60,18,11,30,1,888,586,3,234,20,17,312,13,0,0,5,6,0,0,0,2,171,0,99,36,15,0,0,0,14,1,689,22,297,19,351,12,737,11,543,183,0,9,2367,667
APR10,Adult,Male,2,12,8,0,1,0,3,634,44,281,58,251,162,28,134,52,23,29,80,11,0,12,57,942,615,282,260,22,101,232,17,694,145,911,47,406,179,279,473,9,31,74,5,354,202,60,34,105,3,3057,2156,14,1019,101,66,956,12,0,1,7,4,0,0,0,0,493,0,580,221,178,10,22,0,110,36,2893,91,1051,64,1687,37,3014,46,2180,787,1,124,9708,668
APR10,Adult,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,4,669
APR10,Juvenile,Female,0,0,0,0,0,0,0,75,2,36,3,34,1,0,1,2,0,2,7,1,0,3,3,85,53,20,20,0,5,28,0,59,14,307,5,259,23,20,9,0,0,3,1,5,14,5,2,7,0,456,45,0,25,0,7,13,0,0,0,0,0,0,0,0,0,13,0,1,20,3,0,0,0,3,0,74,7,24,6,37,0,4,1,3,0,0,7,167,670
APR10,Juvenile,Male,0,1,1,0,0,0,0,110,2,56,13,39,40,14,26,21,8,13,17,0,1,2,14,189,371,104,103,1,68,199,3,302,95,623,28,231,251,113,6,1,0,1,0,4,41,19,6,16,0,1441,119,0,59,2,7,51,0,0,0,0,0,0,0,0,0,32,0,0,116,20,0,0,1,18,1,201,6,51,24,120,0,20,8,11,1,0,28,536,671
APR10,Juvenile,Not Stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672
MAY10,Adult,Female,1,2,1,1,0,0,0,197,17,78,16,86,6,3,3,6,0,6,26,0,0,3,23,238,50,34,32,2,3,13,3,71,22,558,20,430,24,84,255,2,11,64,6,172,73,26,10,37,0,1032,668,8,300,16,23,321,12,0,1,9,0,1,0,0,1,139,0,128,24,23,0,3,0,18,2,712,15,294,11,392,5,750,8,558,184,0,14,2475,673
