"Month Year","Homicide (Murder)","Other Homicide","Attempted Murder","Conspiracy to Murder","Manslaughter (excl. by driving)","Driving Causing Death","Manslaughter Unlawful Striking Causing Death","Assault","Grievous Assault","Serious Assault","Serious Assault (Other)","Common Assault'","Sexual Offences","Rape and Attempted Rape","Other Sexual Offences","Robbery","Armed Robbery","Unarmed Robbery","Other Offences Against the Person","Kidnapping & Abduction etc.","Extortion","Stalking","Life Endangering Acts","Offences Against the Person","Unlawful Entry","Unlawful Entry With Intent - Dwelling","Unlawful Entry Without Violence - Dwelling","Unlawful Entry With Violence - Dwelling","Unlawful Entry With Intent - Shop","Unlawful Entry With Intent - Other","Arson","Other Property Damage","Unlawful Use of Motor Vehicle","Other Theft (excl. Unlawful Entry)","Stealing from Dwellings","Shop Stealing","Vehicles (steal from/enter with intent)","Other Stealing","Fraud","Fraud by Computer","Fraud by Cheque","Fraud by Credit Card","Identity Fraud","Other Fraud","Handling Stolen Goods","Possess Property Suspected Stolen","Receiving Stolen Property","Possess etc. Tainted Property","Other Handling Stolen Goods","Offences Against Property","Drug Offences","Trafficking Drugs","Possess Drugs","Produce Drugs","Sell Supply Drugs","Other Drug Offences","Prostitution Offences","Found in Places Used for Purpose of Prostitution Offences","Have Interest in Premises Used for Prostitution Offences","Knowingly Participate in Provision Prostitution Offences","Public Soliciting","Procuring Prostitution","Permit Minor to be at a Place Used for Prostitution Offences","Advertising Prostitution","Other Prostitution Offences","Liquor (excl. Drunkenness)","Gaming Racing & Betting Offences","Breach Domestic Violence Protection Order","Trespassing and Vagrancy","Weapons Act Offences","Unlawful Possess Concealable Firearm","Unlawful Possess Firearm - Other","Bomb Possess and/or use of","Possess and/or use other weapons; restricted items","Weapons Act Offences - Other","Good Order Offences","Disobey Move-on Direction","Resist Incite Hinder Obstruct Police","Fare Evasion","Public Nuisance","Stock Related Offences","Traffic and Related Offences","Dangerous Operation of a Vehicle","Drink Driving","Disqualified Driving","Interfere with Mechanism of Motor Vehicle","Miscellaneous Offences","Other Offences"
JUL09,4,9,6,0,2,1,0,1434,73,658,108,595,317,77,240,139,70,69,295,29,1,37,228,2198,3201,1713,1681,32,393,1095,122,3292,685,7172,537,1607,2121,2907,1582,64,79,320,39,1080,454,140,79,224,11,16508,4433,18,2070,129,253,1963,14,2,0,4,1,5,0,0,2,878,0,757,288,289,14,50,5,170,50,3990,112,1563,153,2162,91,3639,121,2688,825,5,216,14595
AUG09,12,14,9,0,2,3,0,1742,71,815,153,703,446,104,342,161,63,98,316,19,4,46,247,2691,3205,1752,1715,37,318,1135,145,3214,762,7105,521,1304,2271,3009,2226,1034,55,361,36,740,380,109,69,197,5,17037,4046,8,1892,144,153,1849,27,0,2,6,14,0,0,0,5,893,0,791,426,300,4,38,1,199,58,4622,144,1637,200,2641,47,4166,141,2884,1131,10,262,15580
SEP09,5,12,7,0,0,5,0,1692,84,761,156,691,500,140,360,166,92,74,327,19,8,67,233,2702,3470,1959,1912,47,350,1161,103,3524,787,7257,575,1323,2186,3173,1715,51,65,239,42,1318,375,108,55,208,4,17231,3701,30,1771,139,154,1607,23,6,1,13,1,0,0,1,1,831,0,782,315,322,14,45,8,203,52,4163,97,1675,153,2238,32,3843,139,2614,1088,2,230,14242
OCT09,8,4,4,0,0,0,0,1893,93,882,202,716,481,107,374,150,72,78,276,16,3,51,206,2812,3510,2073,2023,50,323,1114,124,3325,712,7154,598,1401,2183,2972,1386,178,83,238,100,787,404,127,72,196,9,16615,3630,15,1681,159,138,1637,25,1,1,22,0,0,0,0,1,923,0,859,369,278,8,40,7,168,55,4680,125,1756,179,2620,50,3979,118,2782,1075,4,210,15003
NOV09,3,7,5,0,0,2,0,1852,79,886,195,692,525,133,392,137,53,84,302,26,4,54,218,2826,3767,2164,2119,45,327,1276,127,3473,752,7320,690,1280,2246,3104,1447,85,58,282,60,962,400,124,58,210,8,17286,3652,23,1542,140,437,1510,4,0,0,3,1,0,0,0,0,809,0,792,403,296,22,34,2,171,67,4763,109,1725,164,2765,70,4055,122,2736,1195,2,202,15046
DEC09,6,10,6,0,1,3,0,1777,95,819,187,676,406,122,284,167,72,95,302,15,2,58,227,2668,4000,2352,2298,54,405,1243,122,3383,830,7191,628,1389,2231,2943,1448,79,59,359,87,864,419,133,70,211,5,17393,3179,21,1541,155,70,1392,12,1,0,8,1,0,0,0,2,997,0,941,370,259,6,42,6,159,46,5177,152,1876,186,2963,33,4254,129,2992,1132,1,165,15387
JAN10,2,8,5,0,2,1,0,1860,102,862,177,719,483,142,341,144,46,98,361,30,4,75,252,2858,4187,2454,2409,45,433,1300,125,3720,847,7643,677,1358,2419,3189,1358,88,64,234,60,912,416,119,75,210,12,18296,3400,12,1634,139,156,1459,26,0,1,12,6,0,0,0,7,745,0,964,399,361,14,48,5,216,78,5387,181,1875,209,3122,55,4244,152,3077,1013,2,277,15858
FEB10,4,7,3,1,0,3,0,1694,81,809,140,664,580,178,402,133,58,75,360,22,1,52,285,2778,3622,2090,2046,44,345,1187,97,3345,753,6761,567,1285,2087,2822,1395,40,48,366,61,880,452,179,73,191,9,16425,3420,51,1576,159,186,1448,47,6,1,14,23,0,0,0,3,597,0,828,350,285,5,40,1,194,45,3845,101,1525,172,2047,63,3326,122,2418,780,6,232,12993
MAR10,5,6,4,0,0,2,0,1760,107,787,172,694,525,114,411,168,57,111,351,22,5,63,261,2815,4121,2286,2230,56,436,1399,107,3423,755,7384,640,1471,2226,3047,1494,42,70,237,35,1110,435,132,83,207,13,17719,3560,40,1602,179,139,1600,13,0,0,8,3,0,0,0,2,608,0,866,412,287,9,48,3,185,42,3984,87,1499,235,2163,57,3458,90,2506,854,8,263,13508
APR10,3,4,4,0,0,0,0,1541,72,689,134,646,488,154,334,140,68,72,281,25,3,42,211,2457,3476,2017,1977,40,312,1147,103,3186,631,6639,542,1445,1935,2717,1034,32,51,214,24,713,352,126,52,169,5,15421,3190,18,1441,127,150,1454,29,0,1,14,10,1,0,1,2,745,0,724,360,247,8,26,2,160,51,4116,129,1544,210,2233,41,3840,76,2773,986,5,201,13493
MAY10,5,9,3,1,2,3,0,1527,83,720,122,602,425,93,332,136,67,69,292,24,3,55,210,2394,3480,2090,2051,39,308,1082,108,3178,750,7095,583,1474,2126,2912,1789,156,88,467,27,1051,400,133,87,174,6,16800,3762,65,1715,135,224,1623,30,0,4,22,0,3,0,0,1,735,0,717,343,287,11,39,1,197,39,4229,111,1516,217,2385,28,3705,109,2690,903,3,255,14091
