"Month Year","Homicide (Murder)","Other Homicide","Attempted Murder","Conspiracy to Murder","Manslaughter (excl. by driving)","Driving Causing Death","Manslaughter Unlawful Striking Causing Death","Assault","Grievous Assault","Serious Assault","Serious Assault (Other)","Common Assault'","Sexual Offences","Rape and Attempted Rape","Other Sexual Offences","Robbery","Armed Robbery","Unarmed Robbery","Other Offences Against the Person","Kidnapping & Abduction etc.","Extortion","Stalking","Life Endangering Acts","Offences Against the Person","Unlawful Entry","Unlawful Entry With Intent - Dwelling","Unlawful Entry Without Violence - Dwelling","Unlawful Entry With Violence - Dwelling","Unlawful Entry With Intent - Shop","Unlawful Entry With Intent - Other","Arson","Other Property Damage","Unlawful Use of Motor Vehicle","Other Theft (excl. Unlawful Entry)","Stealing from Dwellings","Shop Stealing","Vehicles (steal from/enter with intent)","Other Stealing","Fraud","Fraud by Computer","Fraud by Cheque","Fraud by Credit Card","Identity Fraud","Other Fraud","Handling Stolen Goods","Possess Property Suspected Stolen","Receiving Stolen Property","Possess etc. Tainted Property","Other Handling Stolen Goods","Offences Against Property","Drug Offences","Trafficking Drugs","Possess Drugs","Produce Drugs","Sell Supply Drugs","Other Drug Offences","Prostitution Offences","Found in Places Used for Purpose of Prostitution Offences","Have Interest in Premises Used for Prostitution Offences","Knowingly Participate in Provision Prostitution Offences","Public Soliciting","Procuring Prostitution","Permit Minor to be at a Place Used for Prostitution Offences","Advertising Prostitution","Other Prostitution Offences","Liquor (excl. Drunkenness)","Gaming Racing & Betting Offences","Breach Domestic Violence Protection Order","Trespassing and Vagrancy","Weapons Act Offences","Unlawful Possess Concealable Firearm","Unlawful Possess Firearm - Other","Bomb Possess and/or use of","Possess and/or use other weapons; restricted items","Weapons Act Offences - Other","Good Order Offences","Disobey Move-on Direction","Resist Incite Hinder Obstruct Police","Fare Evasion","Public Nuisance","Stock Related Offences","Traffic and Related Offences","Dangerous Operation of a Vehicle","Drink Driving","Disqualified Driving","Interfere with Mechanism of Motor Vehicle","Miscellaneous Offences","Other Offences"
JUL16,1,15,9,0,1,3,2,1601,53,805,235,508,423,137,286,121,78,43,305,26,4,65,210,2466,2835,1732,1683,49,133,970,99,2797,934,9016,725,1777,2436,4078,2313,59,7,1145,83,1019,535,200,55,274,6,18529,8151,83,3545,125,560,3838,7,0,0,4,0,0,0,2,1,514,1,1775,446,629,16,67,1,209,336,5258,84,2408,598,2168,23,4020,198,2696,1125,1,348,21172
AUG16,7,11,9,0,0,2,0,1786,80,831,283,592,486,155,331,164,91,73,363,26,6,58,273,2817,2840,1753,1679,74,133,954,85,3108,976,9321,740,1941,2412,4228,2996,33,29,1680,86,1168,604,287,36,277,4,19930,9202,64,3778,201,1059,4100,4,0,0,3,0,0,0,0,1,393,0,2010,504,620,6,85,2,189,338,4987,73,2341,588,1985,19,4085,191,2678,1214,2,551,22375
SEP16,1,5,3,0,0,1,1,1757,54,857,269,577,550,156,394,157,86,71,343,32,14,53,244,2813,3068,1841,1780,61,142,1085,77,3104,1001,9202,659,1790,2341,4412,2190,24,23,1107,69,967,484,206,36,240,2,19126,8165,90,3218,125,1229,3503,10,0,0,6,0,0,0,3,1,386,0,2100,527,586,10,67,2,183,324,5069,66,2387,556,2060,25,3325,155,2196,973,1,455,20648
OCT16,5,22,19,0,2,0,1,1838,90,868,252,628,490,142,348,161,72,89,367,25,9,70,263,2883,3140,1921,1863,58,149,1070,113,3187,1007,9385,724,1758,2356,4547,1926,35,11,955,109,816,477,231,35,205,6,19235,7331,55,3335,167,387,3387,6,2,0,3,0,0,0,0,1,433,0,2329,523,664,19,75,1,215,354,5277,75,2352,546,2304,18,3674,203,2431,1039,1,373,20628
NOV16,5,9,6,0,1,2,0,2004,87,993,297,627,518,163,355,163,92,71,325,25,5,60,235,3024,3132,2014,1948,66,160,958,115,3123,1008,9319,729,1774,2148,4668,3774,44,12,1003,106,2609,442,184,45,207,6,20913,7531,39,3332,181,420,3559,5,0,0,2,0,1,0,1,1,380,1,2354,523,578,18,68,1,171,320,5575,80,2632,583,2280,5,3634,210,2391,1029,4,337,20923
DEC16,3,8,6,0,0,2,0,1919,75,898,327,619,500,162,338,144,77,67,330,31,7,34,258,2904,3050,2071,2008,63,123,856,106,3139,1038,9014,776,1777,2048,4413,2027,26,11,1015,61,914,437,188,32,212,5,18811,6618,46,2681,124,988,2779,4,0,0,1,1,0,0,2,0,541,0,2329,488,501,9,64,4,150,274,5116,68,2326,425,2297,28,3682,187,2508,984,3,565,19872
JAN17,2,8,5,0,1,2,0,1948,72,942,278,656,518,150,368,142,46,96,334,41,6,37,250,2952,3339,2216,2163,53,134,989,119,3308,1107,9623,867,1707,2245,4804,2063,31,10,1061,63,898,430,185,31,206,8,19989,6231,30,2771,139,459,2832,1,0,0,1,0,0,0,0,0,360,0,2273,512,578,5,84,1,175,313,5185,65,2322,502,2296,10,3504,181,2379,941,3,246,18900
FEB17,3,8,3,0,1,3,1,2043,75,1007,294,667,498,169,329,161,71,90,429,35,5,82,307,3142,3064,2083,2011,72,142,839,95,2868,1005,8601,656,1647,1960,4338,1982,40,17,1108,100,717,391,148,28,212,3,18006,5767,20,2518,149,283,2797,4,0,0,2,0,0,0,2,0,343,0,2217,461,513,15,55,2,158,283,4662,80,2101,458,2023,45,3103,183,2089,830,1,282,17397
MAR17,4,7,4,0,0,3,0,2012,81,1011,269,651,562,197,365,128,72,56,422,30,9,53,330,3135,3173,2056,1997,59,186,931,102,3169,969,9113,687,1744,2128,4554,2621,59,9,1014,134,1405,494,212,27,248,7,19641,6555,79,2770,172,472,3062,14,0,6,1,2,0,0,1,4,358,0,2306,546,539,17,70,2,147,303,4936,65,2135,478,2258,20,3392,167,2283,941,1,337,19003
APR17,3,6,4,0,1,1,0,1766,72,863,271,560,473,148,325,128,61,67,378,30,9,48,291,2754,2983,1883,1836,47,183,917,103,3053,962,8956,644,1602,2507,4203,1787,28,71,1056,167,465,384,148,46,187,3,18228,5210,35,2325,79,394,2377,14,0,0,11,0,0,0,1,2,335,0,2049,495,450,8,60,6,128,248,4444,67,1926,356,2095,4,3090,134,2220,736,0,221,16312
MAY17,5,6,5,0,0,1,0,1869,75,890,249,655,451,130,321,134,57,77,352,23,3,45,281,2817,3281,2047,1988,59,186,1048,103,2987,987,9632,725,1863,2394,4650,2089,24,16,1076,113,860,464,195,43,219,7,19543,7129,45,3128,124,431,3401,14,0,0,3,0,0,0,8,3,375,1,2082,518,562,19,68,2,164,309,4637,49,2067,529,1992,11,3440,152,2398,888,2,308,19077
JUN17,1,2,2,0,0,0,0,1713,70,839,243,561,579,187,392,147,79,68,327,19,9,45,254,2769,2884,1848,1800,48,142,894,85,2816,956,9492,687,1932,2354,4519,2637,35,13,1425,90,1074,500,216,50,230,4,19370,6922,39,2995,145,441,3302,14,0,0,7,0,0,0,2,5,378,0,1962,432,532,15,62,3,162,290,4446,56,2013,405,1972,18,3294,141,2335,816,2,367,18365
JUL17,1,3,2,0,0,1,0,1797,57,931,216,593,531,149,382,163,64,99,355,14,10,59,272,2850,2822,1728,1665,63,138,956,113,2819,963,9012,644,1700,2446,4222,2857,43,4,1076,70,1664,473,202,49,219,3,19059,6906,33,3097,144,359,3273,16,0,0,8,0,0,0,5,3,509,0,2084,426,521,13,56,3,155,294,4557,70,2117,410,1960,1,3604,199,2563,839,3,271,18895
AUG17,4,4,2,0,0,2,0,1878,66,916,233,663,565,191,374,142,71,71,404,29,4,52,319,2997,2850,1727,1675,52,150,973,113,2949,957,9252,617,1686,2348,4601,1658,35,11,782,79,751,409,184,25,195,5,18188,7045,47,3298,129,289,3282,7,0,0,5,0,0,0,2,0,521,0,2063,468,515,9,50,4,143,309,4610,69,2093,527,1921,18,3579,186,2520,872,1,288,19114
SEP17,3,6,5,1,0,0,0,1856,73,905,253,625,668,218,450,130,63,67,369,20,3,39,307,3032,2972,1870,1816,54,152,950,134,3010,992,9672,686,1736,2454,4796,1792,46,6,780,280,680,430,187,28,206,9,19002,8191,39,2711,115,2512,2814,11,0,0,2,0,0,0,1,8,357,0,2149,486,493,8,47,3,161,274,4455,57,2033,471,1894,9,3085,160,2198,725,2,280,19516
OCT17,3,9,7,0,0,2,0,2112,85,997,286,744,514,162,352,177,92,85,358,26,10,64,258,3173,3349,2025,1978,47,186,1138,109,3151,1118,10425,748,1843,2699,5135,2039,52,7,992,115,873,467,182,40,241,4,20658,6984,88,2867,140,831,3058,1,0,0,0,0,0,0,1,0,433,0,2235,508,526,11,63,1,169,282,4591,62,2018,479,2032,11,3348,152,2321,874,1,235,18872
NOV17,6,6,4,0,0,2,0,2153,89,1023,267,774,567,193,374,179,92,87,385,27,12,57,289,3296,3081,1963,1916,47,144,974,99,3174,1022,10471,746,1957,2498,5270,2246,55,9,1278,127,777,516,224,23,260,9,20609,6505,44,2889,160,320,3092,10,0,0,2,0,0,0,0,8,417,0,2158,531,510,8,44,3,159,296,4516,89,1941,431,2055,6,3356,168,2358,826,4,283,18292
DEC17,4,1,1,0,0,0,0,2057,86,970,268,733,429,160,269,191,97,94,343,22,6,36,279,3025,3543,2327,2256,71,169,1047,93,3250,1179,10379,766,1913,2529,5171,1667,55,6,804,100,702,425,212,36,172,5,20536,5954,34,2426,130,824,2540,5,2,0,3,0,0,0,0,0,485,0,2331,525,525,8,40,0,160,317,4823,97,2127,396,2203,4,3420,174,2531,715,0,199,18271
